timestamp,cpu_percent,mem_percent,io_read_kbps,io_write_kbps,process_count,syscall_rate_per_sec
1775488719.7933936,2.8,86.9,0.0,0.0,0.0,6.2
1775488724.7933936,0.9,85.9,0.0,0.0,0.0,3.4
1775488729.7933936,19.6,86.2,0.0,0.0,0.0,3.4
1775488734.7933936,41.2,79.2,0.0,0.0,0.0,3.4
1775488739.7933936,1.9,78.3,0.0,0.0,0.0,3.4
1775488744.7933936,3.5,78.0,0.0,0.0,0.0,6.2
1775488749.7933936,1.9,77.9,0.0,0.0,0.0,3.4
1775488754.7933936,1.2,72.8,0.0,0.0,0.0,6.4
1775488759.7933936,6.9,70.9,0.0,0.0,0.0,6.2
1775488764.7933936,1.6,69.9,0.0,0.0,0.0,6.2
1775488769.7933936,0.9,69.5,0.0,0.0,0.0,3.4
1775488774.7933936,4.7,69.3,0.0,0.0,0.0,3.4
1775488779.7933936,0.0,69.2,0.0,0.0,0.0,3.4
1775488784.7933936,0.3,69.4,0.0,0.0,0.0,3.4
1775488789.7933936,0.6,69.4,0.0,0.0,0.0,3.4
1775488794.7933936,1.2,69.2,0.0,0.0,0.0,3.4
1775488799.7933936,1.9,68.7,0.0,0.0,0.0,3.4
1775488804.7933936,0.3,68.6,0.0,0.0,0.0,3.4
1775488809.7933936,0.6,68.6,0.0,0.0,0.0,3.4
1775488814.7933936,0.3,68.5,0.0,0.0,0.0,3.4
1775488819.7933936,1.3,68.1,0.0,0.0,0.0,3.4
1775488824.7933936,1.3,68.1,0.0,0.0,0.0,3.4
1775488829.7933936,0.3,68.1,0.0,0.0,0.0,3.4
1775488834.7933936,0.6,68.3,0.0,0.0,0.0,3.4
1775488839.7933936,0.6,68.5,0.0,0.0,0.0,3.4
1775488844.7933936,1.9,68.5,0.0,0.0,0.0,3.4
1775488849.7933936,1.3,68.7,0.0,0.0,0.0,3.4
1775488854.7933936,0.3,68.5,0.0,0.0,0.0,3.4
1775488859.7933936,0.3,68.3,0.0,0.0,0.0,3.4
1775488864.7933936,0.3,68.1,0.0,0.0,0.0,3.4
1775488869.7933936,0.3,67.8,0.0,0.0,0.0,3.4
1775488874.7933936,0.9,67.7,0.0,0.0,0.0,3.4
1775488879.7933936,0.6,67.7,0.0,0.0,0.0,3.4
1775488884.7933936,0.3,67.7,0.0,0.0,0.0,3.4
1775488889.7933936,0.9,67.7,0.0,0.0,0.0,3.4
1775488894.7933936,0.6,67.4,0.0,0.0,0.0,3.4
1775488899.7933936,0.9,67.4,0.0,0.0,0.0,3.4
1775488904.7933936,0.3,67.4,0.0,0.0,0.0,3.4
1775488909.7933936,0.3,67.4,0.0,0.0,0.0,3.4
1775488914.7933936,0.0,67.3,0.0,0.0,0.0,3.4
1775488919.7933936,0.6,67.3,0.0,0.0,0.0,3.4
1775488924.7933936,0.9,67.3,0.0,0.0,0.0,3.4
1775488929.7933936,0.6,67.2,0.0,0.0,0.0,3.4
1775488934.7933936,0.6,67.1,0.0,0.0,0.0,3.4
1775488939.7933936,0.3,67.1,0.0,0.0,0.0,3.4
1775488944.7933936,1.6,67.1,0.0,0.0,0.0,3.4
1775488949.7933936,0.3,67.1,0.0,0.0,0.0,3.4
1775488954.7933936,0.6,67.1,0.0,0.0,0.0,3.4
1775488959.7933936,1.9,67.3,0.0,0.0,0.0,3.4
1775488964.7933936,0.0,67.2,0.0,0.0,0.0,3.4
1775488969.7933936,1.6,67.2,0.0,0.0,0.0,3.4
1775488974.7933936,0.9,67.1,0.0,0.0,0.0,3.4
1775488979.7933936,0.6,67.2,0.0,0.0,0.0,3.4
1775488984.7933936,0.3,67.2,0.0,0.0,0.0,3.4
1775488989.7933936,0.0,67.2,0.0,0.0,0.0,3.4
1775488994.7933936,2.8,67.3,0.0,0.0,0.0,3.4
1775488999.7933936,0.9,67.4,0.0,0.0,0.0,3.4
1775489004.7933936,0.6,67.3,0.0,0.0,0.0,3.4
1775489009.7933936,0.6,67.3,0.0,0.0,0.0,3.4
1775489014.7933936,0.6,67.3,0.0,0.0,0.0,3.4
1775489019.7933936,0.9,67.3,0.0,0.0,0.0,3.4
1775489024.7933936,1.6,67.3,0.0,0.0,0.0,3.4
1775489029.7933936,0.9,67.2,0.0,0.0,0.0,3.4
1775489034.7933936,0.3,67.2,0.0,0.0,0.0,3.4
1775489039.7933936,0.9,67.2,0.0,0.0,0.0,3.4
1775489044.7933936,2.5,67.2,0.0,0.0,0.0,3.4
1775489049.7933936,0.3,67.2,0.0,0.0,0.0,3.4
